article,unit_price
BAGUETTE,"0,90 €"
PAIN AU CHOCOLAT,"1,20 €"
PAIN,"1,15 €"
TRADITIONAL BAGUETTE,"1,20 €"
CROISSANT,"1,10 €"
BANETTE,"1,05 €"
BANETTINE,"0,60 €"
SPECIAL BREAD,"2,40 €"
COUPE,"0,15 €"
SAND JB EMMENTAL,"3,50 €"
KOUIGN AMANN,"2,10 €"
BOULE 200G,"1,10 €"
BOULE 400G,"1,50 €"
GAL FRANGIPANE 6P,"12,00 €"
CAMPAGNE,"1,80 €"
MOISSON,"2,00 €"
CAFE OU EAU,"1,00 €"
BRIOCHE,"5,00 €"
CEREAL BAGUETTE,"1,25 €"
SEIGLE,"1,80 €"
COMPLET,"1,50 €"
DIVERS PATISSERIE,"0,00 €"
GAL FRANGIPANE 4P,"8,00 €"
COOKIE,"1,00 €"
FICELLE,"0,60 €"
PAIN AUX RAISINS,"1,40 €"
GAL POMME 6P,"12,00 €"
GAL POMME 4P,"8,00 €"
FINANCIER X5,"3,00 €"
VIK BREAD,"2,50 €"
DIVERS VIENNOISERIE,"4,00 €"
GACHE,"5,00 €"
SANDWICH COMPLET,"4,50 €"
PAIN BANETTE,"1,40 €"
GRAND FAR BRETON,"7,00 €"
DIVERS VIENNOISERIE,"6,00 €"
QUIM BREAD,"1,00 €"
SPECIAL BREAD KG,"4,80 €"
GD KOUIGN AMANN,"7,50 €"
BOULE POLKA,"1,60 €"
DEMI BAGUETTE,"0,45 €"
CHAUSSON AUX POMMES,"1,40 €"
BAGUETTE GRAINE,"1,30 €"
DIVERS CONFISERIE,"3,00 €"
SUCETTE,"0,30 €"
DIVERS BOULANGERIE,"2,00 €"
BOISSON 33CL,"1,50 €"
PATES,"4,50 €"
FORMULE SANDWICH,"6,50 €"
DIVERS SANDWICHS,"2,50 €"
CROISSANT AMANDES,"1,40 €"
PAIN CHOCO AMANDES,"1,50 €"
SACHET VIENNOISERIE,"4,00 €"
DIVERS PATISSERIE,"4,00 €"
DIVERS VIENNOISERIE,"3,50 €"
DIVERS SANDWICHS,"5,00 €"
DIVERS PATISSERIE,"6,00 €"
NANTAIS,"2,50 €"
DIVERS PATISSERIE,"3,50 €"
DIVERS VIENNOISERIE,"2,00 €"
DIVERS VIENNOISERIE,"3,00 €"
CHOCOLAT,"1,50 €"
DIVERS BOULANGERIE,"12,00 €"
PAIN S/SEL,"1,50 €"
FONDANT CHOCOLAT,"2,50 €"
GAL POIRE CHOCO 6P,"12,00 €"
GAL POIRE CHOCO 4P,"8,00 €"
DIVERS BOULANGERIE,"1,00 €"
GALETTE 8 PERS,"16,00 €"
DIVERS PATISSERIE,"8,00 €"
SAND JB,"3,00 €"
DIVERS VIENNOISERIE,"1,00 €"
DIVERS PATISSERIE,"12,00 €"
SACHET DE CROUTON,"1,60 €"
DIVERS PATISSERIE,"24,00 €"
DIVERS CONFISERIE,"1,00 €"
DIVERS SANDWICHS,"4,50 €"
DIVERS SANDWICHS,"0,07 €"
GRANDE SUCETTE,"0,60 €"
DEMI PAIN,"0,60 €"
TARTELETTE,"2,00 €"
FLAN,"2,00 €"
PARIS BREST,"2,00 €"
DIVERS SANDWICHS,"10,00 €"
SAVARIN,"2,00 €"
FLAN ABRICOT,"2,10 €"
BAGUETTE APERO,"4,50 €"
MILLES FEUILLES,"2,00 €"
CHOU CHANTILLY,"2,00 €"
DIVERS SANDWICHS,"3,00 €"
DIVERS SANDWICHS,"1,50 €"
ECLAIR,"2,00 €"
ROYAL 4P,"12,00 €"
DIVERS VIENNOISERIE,"12,00 €"
DIVERS BOULANGERIE,"5,00 €"
DIVERS CONFISERIE,"6,00 €"
DIVERS BOULANGERIE,"3,00 €"
DIVERS VIENNOISERIE,"1,20 €"
DIVERS VIENNOISERIE,"1,60 €"
TARTE FRUITS 6P,"12,00 €"
DIVERS PATISSERIE,"7,00 €"
TARTE FRUITS 4P,"9,00 €"
NOIX JAPONAISE,"2,00 €"
DIVERS VIENNOISERIE,"2,80 €"
DIVERS VIENNOISERIE,"2,40 €"
DIVERS VIENNOISERIE,"11,00 €"
DIVERS SANDWICHS,"2,00 €"
DIVERS PATISSERIE,"9,00 €"
DIVERS PATISSERIE,"5,00 €"
DIVERS PATISSERIE,"1,00 €"
DIVERS VIENNOISERIE,"0,80 €"
DIVERS VIENNOISERIE,"0,40 €"
DIVERS VIENNOISERIE,"4,20 €"
THE,"1,50 €"
DIVERS VIENNOISERIE,"4,80 €"
DIVERS BOULANGERIE,"4,00 €"
DIVERS VIENNOISERIE,"3,20 €"
DIVERS BOULANGERIE,"0,00 €"
BRIOCHETTE,"0,80 €"
DIVERS BOULANGERIE,"7,00 €"
ROYAL 6P,"18,00 €"
DIVERS VIENNOISERIE,"44,00 €"
ECLAIR FRAISE PISTACHE,"2,10 €"
DIVERS SANDWICHS,"0,25 €"
DIVERS BOULANGERIE,"6,00 €"
.,"0,00 €"
GD FAR BRETON,"0,00 €"
DIVERS VIENNOISERIE,"4,75 €"
DIVERS SANDWICHS,"4,00 €"
DIVERS PATISSERIE,"2,00 €"
TRIANGLES,"2,50 €"
DIVERS VIENNOISERIE,"22,00 €"
TROPEZIENNE,"2,00 €"
TROPEZIENNE FRAMBOISE,"2,10 €"
DIVERS PATISSERIE,"14,00 €"
ROYAL,"3,00 €"
TARTE FRAISE 6P,"18,00 €"
TARTELETTE FRAISE,"3,00 €"
TARTE FRAISE 4PER,"12,00 €"
FRAISIER,"3,00 €"
DIVERS PATISSERIE,"2,50 €"
DIVERS SANDWICHS,"3,50 €"
DIVERS PATISSERIE,"7,50 €"
NID DE POULE,"2,50 €"
TARTELETTE CHOC,"2,50 €"
PAIN DE MIE,"2,00 €"
DIVERS PATISSERIE,"4,50 €"
DIVERS PATISSERIE,"3,00 €"
DIVERS BOULANGERIE,"10,00 €"
DIVERS PATISSERIE,"11,00 €"
DIVERS VIENNOISERIE,"7,50 €"
DIVERS CONFISERIE,"9,00 €"
DIVERS BOULANGERIE,"7,50 €"
CRUMBLE,"2,00 €"
DIVERS VIENNOISERIE,"7,00 €"
DIVERS BOULANGERIE,"0,70 €"
FINANCIER,"0,70 €"
DIVERS PATISSERIE,"18,00 €"
DIVERS CONFISERIE,"0,00 €"
DIVERS CONFISERIE,"12,00 €"
DIVERS BOULANGERIE,"8,00 €"
DIVERS VIENNOISERIE,"5,40 €"
DIVERS VIENNOISERIE,"2,50 €"
DIVERS BOISSONS,"2,00 €"
DIVERS SANDWICHS,"7,50 €"
DIVERS BOISSONS,"4,00 €"
CAKE,"3,00 €"
DIVERS BOULANGERIE,"9,00 €"
DIVERS PATISSERIE,"10,00 €"
DIVERS SANDWICHS,"6,50 €"
DIVERS SANDWICHS,"8,00 €"
DIVERS SANDWICHS,"13,00 €"
DIVERS SANDWICHS,"9,10 €"
DIVERS SANDWICHS,"8,50 €"
DIVERS SANDWICHS,"16,00 €"
VIENNOISE,"1,10 €"
DIVERS SANDWICHS,"14,00 €"
DIVERS SANDWICHS,"6,00 €"
DIVERS SANDWICHS,"7,00 €"
DIVERS SANDWICHS,"1,00 €"
TRAITEUR,"1,50 €"
TRAITEUR,"7,00 €"
TRAITEUR,"5,50 €"
TRAITEUR,"7,50 €"
TRAITEUR,"8,50 €"
TRAITEUR,"6,50 €"
TRAITEUR,"6,00 €"
TRAITEUR,"8,00 €"
PAIN GRAINES,"2,00 €"
TRAITEUR,"14,00 €"
"PLATPREPARE6,50","0,00 €"
"PLATPREPARE6,50","6,50 €"
"PLATPREPARE5,50","5,50 €"
"PLATPREPARE7,00","7,00 €"
FORMULE PLAT PREPARE,"8,00 €"
ST HONORE,"3,00 €"
BROWNIES,"2,50 €"
RELIGIEUSE,"2,50 €"
"PLATPREPARE6,00","6,00 €"
TRAITEUR,"17,00 €"
CRUMBLE,"6,00 €"
TRAITEUR,"9,50 €"
TRAITEUR,"16,00 €"
TRAITEUR,"21,00 €"
DELICETROPICAL,"3,00 €"
TRAITEUR,"11,00 €"
TRAITEUR,"4,50 €"
TRAITEUR,"12,00 €"
TRAITEUR,"0,00 €"
DIVERS BOULANGERIE,"5,45 €"
CRUMBLECARAMEL OU PISTAE,"6,00 €"
NANTAIS,"5,00 €"
PT NANTAIS,"3,00 €"
DIVERS BOISSONS,"3,00 €"
GD NANTAIS,"11,00 €"
TRAITEUR,"13,00 €"
TRAITEUR,"12,50 €"
TRAITEUR,"2,00 €"
TRAITEUR,"3,50 €"
TRAITEUR,"24,00 €"
TRAITEUR,"22,50 €"
TRAITEUR,"35,00 €"
TRAITEUR,"15,00 €"
DIVERS VIENNOISERIE,"0,00 €"
TRAITEUR,"9,00 €"
TRAITEUR,"13,50 €"
DOUCEUR D HIVER,"3,00 €"
TROIS CHOCOLAT,"3,00 €"
DIVERS VIENNOISERIE,"3,75 €"
TRAITEUR,"28,00 €"
TRAITEUR,"18,00 €"
TRAITEUR,"14,50 €"
GD FAR BRETON,"7,00 €"
ARTICLE 295,"0,00 €"
TRAITEUR,"14,60 €"
TRAITEUR,"8,30 €"
TRAITEUR,"9,80 €"
TRAITEUR,"7,60 €"
TRAITEUR,"9,10 €"
DIVERS PATISSERIE,"10,50 €"
TRAITEUR,"15,20 €"
TARTE FINE,"7,00 €"
DIVERS VIENNOISERIE,"1,50 €"
TRAITEUR,"16,60 €"
ENTREMETS,"3,50 €"
TRAITEUR,"4,80 €"
BRIOCHE DE NOEL,"6,00 €"
DIVERS BOULANGERIE,"2,50 €"
TRAITEUR,"12,60 €"
TRAITEUR,"8,90 €"
TRAITEUR,"10,50 €"
TRAITEUR,"11,65 €"
TRAITEUR,"6,85 €"
TRAITEUR,"9,60 €"
FRAMBOISIER,"3,00 €"
BUCHE 4PERS,"14,00 €"
BUCHE 6PERS,"21,00 €"
DIVERS BOULANGERIE,"1,60 €"
DIVERS BOULANGERIE,"2,40 €"
GD PLATEAU SALE,"18,00 €"
BUCHE 8PERS,"28,00 €"
DIVERS BOULANGERIE,"0,80 €"
TRAITEUR,"10,30 €"
DIVERS BOULANGERIE,"21,00 €"
DIVERS BOULANGERIE,"3,50 €"
TRAITEUR,"20,60 €"
PT PLATEAU SALE,"10,00 €"
DIVERS BOULANGERIE,"3,20 €"
TRAITEUR,"10,40 €"
TRAITEUR,"11,10 €"
REDUCTION SUCREES 12,"10,00 €"
PAIN NOIR,"0,60 €"
DIVERS PATISSERIE,"2,40 €"
DIVERS PATISSERIE,"4,80 €"
DIVERS PATISSERIE,"3,20 €"
REDUCTION SUCREES 24,"15,00 €"
TRAITEUR,"14,65 €"
TRAITEUR,"15,60 €"
TRAITEUR,"23,60 €"
DIVERS VIENNOISERIE,"0,50 €"
TRAITEUR,"21,60 €"
TRADITIONAL BAGUETTE,"1,25 €"
CROISSANT,"1,15 €"
PAIN AU CHOCOLAT,"1,25 €"
COMPLET,"1,80 €"
CEREAL BAGUETTE,"1,30 €"
BAGUETTE,"0,95 €"
BANETTE,"1,10 €"
QUIM BREAD,"1,10 €"
PAIN CHOCO AMANDES,"1,60 €"
COOKIE,"1,10 €"
CHAUSSON AUX POMMES,"1,50 €"
DEMI BAGUETTE,"0,50 €"
PAIN,"1,25 €"
ECLAIR,"2,10 €"
BANETTINE,"0,65 €"
BOULE 400G,"1,60 €"
TARTELETTE,"2,10 €"
PARIS BREST,"2,20 €"
DEMI PAIN,"0,65 €"
SPECIAL BREAD,"2,50 €"
CROISSANT AMANDES,"1,50 €"
SEIGLE,"1,90 €"
BOULE POLKA,"1,70 €"
BOULE 200G,"1,15 €"
PAIN BANETTE,"1,50 €"
BRIOCHE,"6,00 €"
PAIN AUX RAISINS,"1,50 €"
MOISSON,"2,10 €"
CAMPAGNE,"1,90 €"
FINANCIER X5,"3,50 €"
DIVERS VIENNOISERIE,"9,00 €"
CHOU CHANTILLY,"2,10 €"
KOUIGN AMANN,"2,20 €"
FICELLE,"0,65 €"
BOTTEREAU,"0,50 €"
MERINGUE,"1,00 €"
FLAN,"2,10 €"
FLAN ABRICOT,"2,20 €"
SPECIAL BREAD KG,"5,00 €"
TROPEZIENNE,"2,10 €"
GD FAR BRETON,"7,50 €"
VIK BREAD,"2,60 €"
TRAITEUR,"8,60 €"
PAIN S/SEL,"1,60 €"
GRAND FAR BRETON,"7,50 €"
MILLES FEUILLES,"2,20 €"
GD KOUIGN AMANN,"8,00 €"
PT NANTAIS,"3,50 €"
NOIX JAPONAISE,"2,20 €"
BAGUETTE GRAINE,"1,35 €"
TARTE FRUITS 6P,"14,00 €"
SAVARIN,"2,20 €"
TRAITEUR,"4,90 €"
TARTE FRUITS 4P,"10,00 €"
DIVERS PATISSERIE,"3,75 €"
DIVERS VIENNOISERIE,"5,00 €"
TRAITEUR,"6,80 €"
TRAITEUR,"5,80 €"
DIVERS BOULANGERIE,"1,50 €"
TRAITEUR,"10,60 €"
SANDWICH COMPLET,"5,00 €"
FORMULE SANDWICH,"7,00 €"
SAND JB EMMENTAL,"4,00 €"
PALMIER,"1,00 €"
PAILLE,"1,50 €"
PLAT 6.50E,"6,50 €"
PLAT 7.60E,"7,60 €"
PLAT 7.00,"7,00 €"
TRAITEUR,"5,32 €"
PLAT,"4,90 €"
ROYAL,"3,50 €"
DIVERS CONFISERIE,"0,33 €"
FRAMBOISIER,"3,50 €"
PLAT 8.30E,"8,30 €"
TRAITEUR,"5,30 €"
ROYAL 4P,"14,00 €"
DIVERS BOULANGERIE,"1,05 €"
FRAISIER,"3,50 €"
FORMULE PATE,"6,50 €"
TRAITEUR,"7,30 €"
GUERANDAIS,"3,50 €"
DIVERS CONFISERIE,"4,00 €"
DIVERS BOULANGERIE,"5,70 €"
PLAT,"1,00 €"
PLAT,"3,00 €"
DIVERS VIENNOISERIE,"8,00 €"
DIVERS CONFISERIE,"5,70 €"
DIVERS CONFISERIE,"24,00 €"
DIVERS CONFISERIE,"17,10 €"
DIVERS CONFISERIE,"3,50 €"
TRAITEUR,"22,80 €"
DIVERS PATISSERIE,"15,00 €"
TARTELETTE FRAISE,"3,50 €"
TARTE FRAISE 6P,"21,00 €"
TARTE FRAISE 4PER,"14,00 €"
BRIOCHETTE,"1,00 €"
ROYAL 6P,"21,00 €"
DIVERS CONFISERIE,"0,50 €"
PALET BRETON,"1,50 €"
PLAT,"14,00 €"
DIVERS BOULANGERIE,"5,80 €"
DIVERS SANDWICHS,"9,00 €"
GD NANTAIS,"12,00 €"
DIVERS SANDWICHS,"0,00 €"
TRAITEUR,"9,30 €"
ECLAIR FRAISE PISTACHE,"2,20 €"
DIVERS PATISSERIE,"6,60 €"
DIVERS PATISSERIE,"4,40 €"
DIVERS PATISSERIE,"1,10 €"
DIVERS PATISSERIE,"2,20 €"
DIVERS PATISSERIE,"3,30 €"
DIVERS PATISSERIE,"35,00 €"
DIVERS BOULANGERIE,"0,75 €"
TROPEZIENNE FRAMBOISE,"2,20 €"
BANETTE,"1,15 €"
TRADITIONAL BAGUETTE,"1,30 €"
PAIN CHOCO AMANDES,"1,70 €"
PAIN AU CHOCOLAT,"1,30 €"
QUIM BREAD,"1,20 €"
SEIGLE,"2,00 €"
CAMPAGNE,"2,00 €"
BANETTINE,"0,70 €"
CROISSANT,"1,20 €"
FICELLE,"0,70 €"
CHAUSSON AUX POMMES,"1,60 €"
BAGUETTE,"1,00 €"
PAIN AUX RAISINS,"1,60 €"
SPECIAL BREAD,"2,60 €"
PAIN,"1,30 €"
CROISSANT AMANDES,"1,60 €"
BOULE 400G,"1,70 €"
FLAN,"2,20 €"
BOULE 200G,"1,20 €"
BOULE POLKA,"1,80 €"
ECLAIR,"2,20 €"
TARTELETTE,"2,20 €"
COMPLET,"1,90 €"
MOISSON,"2,20 €"
PAIN BANETTE,"1,60 €"
FLAN ABRICOT,"2,30 €"
SPECIAL BREAD KG,"5,20 €"
DIVERS BOISSONS,"1,50 €"
DIVERS BOULANGERIE,"0,45 €"
FINANCIER X5,"4,00 €"
CEREAL BAGUETTE,"1,35 €"
DEMI PAIN,"0,70 €"
KOUIGN AMANN,"2,30 €"
VIK BREAD,"2,70 €"
DIVERS VIENNOISERIE,"15,00 €"
GD KOUIGN AMANN,"9,00 €"
PLAT,"9,10 €"
MILLES FEUILLES,"2,30 €"
CARAMEL NOIX,"2,40 €"
TRAITEUR,"5,00 €"
BAGUETTE GRAINE,"1,40 €"
TROPEZIENNE FRAMBOISE,"2,30 €"
CHOU CHANTILLY,"2,20 €"
PAIN S/SEL,"2,00 €"
TROPEZIENNE,"2,20 €"
COOKIE,"1,15 €"
DIVERS BOULANGERIE,"14,00 €"
DIVERS BOULANGERIE,"0,65 €"
TRAITEUR,"6,40 €"
NOIX JAPONAISE,"2,30 €"
SAVARIN,"2,50 €"
GD NANTAIS,"14,00 €"
MACARON,"1,00 €"
12 MACARON,"10,00 €"
DIVERS VIENNOISERIE,"1,40 €"
DIVERS VIENNOISERIE,"3,60 €"
PALET BRETON,"1,60 €"
PAIN GRAINES,"2,10 €"
ARMORICAIN,"2,50 €"
ECLAIR FRAISE PISTACHE,"2,50 €"
TRAITEUR,"3,00 €"
PLAQUE TARTE 25P,"35,00 €"
TRAITEUR,"11,62 €"
SABLE F  P,"1,60 €"
PALET BRETON,"1,20 €"
DIVERS PATISSERIE,"60,00 €"
DIVERS VIENNOISERIE,"26,00 €"
ST HONORE,"3,50 €"
MILLES FEUILLES,"2,50 €"
PAIN SUISSE PEPITO,"1,60 €"
DIVERS BOISSONS,"1,00 €"
DIVERS BOISSONS,"0,00 €"
DIVERS BOULANGERIE,"0,15 €"
PLAT,"1,50 €"
TULIPE,"3,50 €"
TRAITEUR,"4,70 €"
TARTELETTE COCKTAIL,"3,00 €"
DIVERS PATISSERIE,"30,00 €"
DIVERS PATISSERIE,"5,50 €"
SACHET DE VIENNOISERIE,"4,00 €"
DIVERS BOULANGERIE,"0,25 €"
